epoch 1, training...
batch No.213, time cost : 5.379597187042236, loss is : 2.3025540444231476
batch No.214, time cost : 5.337625741958618, loss is : 2.3026132982688643
batch No.215, time cost : 5.361853837966919, loss is : 2.3027392067455823
batch No.216, time cost : 5.375822305679321, loss is : 2.302643767574824
batch No.217, time cost : 5.345185279846191, loss is : 2.302710552531658
batch No.218, time cost : 5.3802478313446045, loss is : 2.302563627756162
batch No.219, time cost : 5.357946395874023, loss is : 2.302579369985084
batch No.220, time cost : 5.362197399139404, loss is : 2.302646177346319
batch No.221, time cost : 5.3544652462005615, loss is : 2.3025322491068367
batch No.222, time cost : 5.369006872177124, loss is : 2.302604700967686
batch No.223, time cost : 5.340688228607178, loss is : 2.302592564223408
batch No.224, time cost : 5.423809289932251, loss is : 2.302373229539639
batch No.225, time cost : 5.345655679702759, loss is : 2.302516796773755
batch No.226, time cost : 5.368267774581909, loss is : 2.302646256166163
batch No.227, time cost : 5.35809063911438, loss is : 2.3024282791597948
batch No.228, time cost : 5.365075588226318, loss is : 2.302501588806219
batch No.229, time cost : 5.35152530670166, loss is : 2.3025102094477883
batch No.230, time cost : 5.362580299377441, loss is : 2.302717944010336
batch No.231, time cost : 5.347209215164185, loss is : 2.302504282532639
batch No.232, time cost : 5.3767006397247314, loss is : 2.302438869461966
batch No.233, time cost : 5.376476287841797, loss is : 2.30262359316737
batch No.234, time cost : 5.341763257980347, loss is : 2.3027785867955455
batch No.235, time cost : 5.3346943855285645, loss is : 2.3025459431841124
batch No.236, time cost : 5.3669939041137695, loss is : 2.302530495647961
batch No.237, time cost : 5.374100685119629, loss is : 2.302678347637665
batch No.238, time cost : 5.37707781791687, loss is : 2.302644866699385
batch No.239, time cost : 5.3597540855407715, loss is : 2.3025889429566107
batch No.240, time cost : 5.384344577789307, loss is : 2.3024195701362418
batch No.241, time cost : 5.365375280380249, loss is : 2.30254042295437
batch No.242, time cost : 5.326463937759399, loss is : 2.3024139855249253
batch No.243, time cost : 5.377303838729858, loss is : 2.3025782173503293
batch No.244, time cost : 5.354196071624756, loss is : 2.3026156804401343
batch No.245, time cost : 5.357982873916626, loss is : 2.3025162352827055
batch No.246, time cost : 5.373901844024658, loss is : 2.302686050245109
batch No.247, time cost : 5.327708721160889, loss is : 2.3027091175520384
batch No.248, time cost : 5.362961530685425, loss is : 2.302600248928241
batch No.249, time cost : 5.361360549926758, loss is : 2.3026231849458894
batch No.250, time cost : 5.350847959518433, loss is : 2.302781664180685
batch No.251, time cost : 5.377972602844238, loss is : 2.3026624723259284
batch No.252, time cost : 5.3586180210113525, loss is : 2.30266263438324
batch No.253, time cost : 5.363471746444702, loss is : 2.302303587568989
batch No.254, time cost : 5.365788459777832, loss is : 2.302699192951262
batch No.255, time cost : 5.359224319458008, loss is : 2.30265175317189
batch No.256, time cost : 5.384102821350098, loss is : 2.3025602977692223
batch No.257, time cost : 5.336169481277466, loss is : 2.3026451000316484
batch No.258, time cost : 5.391659259796143, loss is : 2.302561752992279
batch No.259, time cost : 5.351951599121094, loss is : 2.3024896178496475
batch No.260, time cost : 5.377732753753662, loss is : 2.302556063998356
batch No.261, time cost : 5.339293956756592, loss is : 2.3025990612579075
batch No.262, time cost : 5.3726465702056885, loss is : 2.302662173867004
batch No.263, time cost : 5.357272386550903, loss is : 2.302462359263055
batch No.264, time cost : 5.36522364616394, loss is : 2.3026406999150533
batch No.265, time cost : 5.334308385848999, loss is : 2.302606358430161
batch No.266, time cost : 5.379644870758057, loss is : 2.302624426001652
batch No.267, time cost : 5.41571044921875, loss is : 2.302523801906159
batch No.268, time cost : 5.382641077041626, loss is : 2.3024617073233817
batch No.269, time cost : 5.396841049194336, loss is : 2.302631355913494
batch No.270, time cost : 5.341992616653442, loss is : 2.3025239020934896
batch No.271, time cost : 5.833578824996948, loss is : 2.30267011269073
batch No.272, time cost : 5.647503852844238, loss is : 2.302805789705695
batch No.273, time cost : 5.406134128570557, loss is : 2.302593176191631
batch No.274, time cost : 5.4077582359313965, loss is : 2.302428067082846
batch No.275, time cost : 5.368733882904053, loss is : 2.3023663469451163
batch No.276, time cost : 5.352100849151611, loss is : 2.3027799069234955
batch No.277, time cost : 5.412719488143921, loss is : 2.3023344159024575
batch No.278, time cost : 5.3563621044158936, loss is : 2.302470087022389
batch No.279, time cost : 5.367746591567993, loss is : 2.302580186192702
batch No.280, time cost : 5.3718812465667725, loss is : 2.302531154595256
batch No.281, time cost : 5.32696795463562, loss is : 2.3024156368620163
batch No.282, time cost : 5.3890063762664795, loss is : 2.302575526518244
batch No.283, time cost : 5.355712175369263, loss is : 2.302548499456897
batch No.284, time cost : 5.360996723175049, loss is : 2.302656230896676
batch No.285, time cost : 5.370107889175415, loss is : 2.302732996214142
batch No.286, time cost : 5.336892127990723, loss is : 2.302872604019951
batch No.287, time cost : 5.363982915878296, loss is : 2.302418804945197
batch No.288, time cost : 5.343327760696411, loss is : 2.30263023775715
batch No.289, time cost : 5.330364465713501, loss is : 2.30242395871587
batch No.290, time cost : 5.354486703872681, loss is : 2.3024470078467996
batch No.291, time cost : 5.372941255569458, loss is : 2.3024861675349424
batch No.292, time cost : 5.36160135269165, loss is : 2.3025743269368313
batch No.293, time cost : 5.341728925704956, loss is : 2.302458106078408
batch No.294, time cost : 5.344750881195068, loss is : 2.30264765803614
batch No.295, time cost : 5.368304491043091, loss is : 2.3026469243950194
batch No.296, time cost : 5.354018449783325, loss is : 2.302703463489489
batch No.297, time cost : 5.37873101234436, loss is : 2.3025676913689646
batch No.298, time cost : 5.372732162475586, loss is : 2.302609641634165
batch No.299, time cost : 5.373875141143799, loss is : 2.3026012511909704
batch No.300, time cost : 5.358658075332642, loss is : 2.3025432870523415
batch No.301, time cost : 5.372065305709839, loss is : 2.302556071277346
batch No.302, time cost : 5.329962968826294, loss is : 2.302487932182891
batch No.303, time cost : 5.360175848007202, loss is : 2.3024723748895712
batch No.304, time cost : 5.347217321395874, loss is : 2.3024865438722197
batch No.305, time cost : 5.350864410400391, loss is : 2.3022198305848853
batch No.306, time cost : 5.38222599029541, loss is : 2.3024209808360987
batch No.307, time cost : 5.367614984512329, loss is : 2.3026764681748926
batch No.308, time cost : 5.354604244232178, loss is : 2.3021197225681953
batch No.309, time cost : 5.390852212905884, loss is : 2.302618085686754
batch No.310, time cost : 5.420305013656616, loss is : 2.30243054546726
batch No.311, time cost : 5.326925039291382, loss is : 2.3024095135685165
batch No.312, time cost : 5.3615028858184814, loss is : 2.3024531333719533
batch No.313, time cost : 5.369648456573486, loss is : 2.302828342227938
batch No.314, time cost : 5.351122140884399, loss is : 2.3025942707363987
batch No.315, time cost : 5.381718873977661, loss is : 2.3026650424882016
batch No.316, time cost : 5.359461545944214, loss is : 2.302450664529619
batch No.317, time cost : 5.340290307998657, loss is : 2.302658548212895
batch No.318, time cost : 5.349634170532227, loss is : 2.302750843491653
batch No.319, time cost : 5.362762689590454, loss is : 2.3025679707884543
batch No.320, time cost : 5.377658843994141, loss is : 2.302556534196243
batch No.321, time cost : 5.344201564788818, loss is : 2.302358006046619
batch No.322, time cost : 5.344774961471558, loss is : 2.3024709993912706
batch No.323, time cost : 5.338535785675049, loss is : 2.302550968423519
batch No.324, time cost : 5.3745787143707275, loss is : 2.302506681924332
batch No.325, time cost : 5.356792211532593, loss is : 2.302636905879827
batch No.326, time cost : 5.374160289764404, loss is : 2.3021321220003395
batch No.327, time cost : 5.381032466888428, loss is : 2.3027948150568873
batch No.328, time cost : 5.381513595581055, loss is : 2.3028527894053816
batch No.329, time cost : 5.355574607849121, loss is : 2.302425638968826
batch No.330, time cost : 5.376929521560669, loss is : 2.302632535169631
batch No.331, time cost : 5.358831167221069, loss is : 2.3028709069381392
batch No.332, time cost : 5.3485426902771, loss is : 2.3030166719790466
batch No.333, time cost : 5.351453065872192, loss is : 2.302518171277441
batch No.334, time cost : 5.389169454574585, loss is : 2.302604612813531
batch No.335, time cost : 5.3659210205078125, loss is : 2.302292535528295
batch No.336, time cost : 5.360448360443115, loss is : 2.3026323363983607
batch No.337, time cost : 5.361258506774902, loss is : 2.3023556004571777
batch No.338, time cost : 5.382061719894409, loss is : 2.3026558078260506
batch No.339, time cost : 5.357264995574951, loss is : 2.3024739259465226
batch No.340, time cost : 5.372005462646484, loss is : 2.302677043245184
batch No.341, time cost : 5.358727693557739, loss is : 2.3028996960978274
batch No.342, time cost : 5.388067245483398, loss is : 2.302583432177519
batch No.343, time cost : 5.390726089477539, loss is : 2.3025048787254727
batch No.344, time cost : 5.360390663146973, loss is : 2.302820009924602
batch No.345, time cost : 5.377472400665283, loss is : 2.302579907659627
batch No.346, time cost : 5.3999176025390625, loss is : 2.3023770175588814
batch No.347, time cost : 5.3437159061431885, loss is : 2.30253612736425
batch No.348, time cost : 5.36260724067688, loss is : 2.302590869588953
batch No.349, time cost : 5.406555652618408, loss is : 2.3024585353367737
batch No.350, time cost : 5.346442222595215, loss is : 2.3022947615412708
batch No.351, time cost : 5.368558406829834, loss is : 2.3024295434001107
batch No.352, time cost : 5.3694679737091064, loss is : 2.30271321236088
batch No.353, time cost : 5.377905607223511, loss is : 2.302727786870543
batch No.354, time cost : 5.373186349868774, loss is : 2.302614289561598
batch No.355, time cost : 5.3474955558776855, loss is : 2.3026953097276
batch No.356, time cost : 5.353777170181274, loss is : 2.302678032762506
batch No.357, time cost : 5.377549171447754, loss is : 2.30236961754785
batch No.358, time cost : 5.370179891586304, loss is : 2.3024902422459905
batch No.359, time cost : 5.362110137939453, loss is : 2.3026612774161968
batch No.360, time cost : 5.3768110275268555, loss is : 2.302563054914393
batch No.361, time cost : 5.334908485412598, loss is : 2.302685102827727
batch No.362, time cost : 5.390091180801392, loss is : 2.3024426125395596
batch No.363, time cost : 5.3438920974731445, loss is : 2.302725773786825
batch No.364, time cost : 5.370672702789307, loss is : 2.3025921012442714
batch No.365, time cost : 5.370534658432007, loss is : 2.3029455137671304
batch No.366, time cost : 5.3591814041137695, loss is : 2.302757900208607
batch No.367, time cost : 5.361492872238159, loss is : 2.3027147956863194
batch No.368, time cost : 5.362578868865967, loss is : 2.302539453885196
batch No.369, time cost : 5.353421926498413, loss is : 2.3026522073242988
batch No.370, time cost : 5.351992130279541, loss is : 2.302704809201257
batch No.371, time cost : 5.358357667922974, loss is : 2.302437452900043
batch No.372, time cost : 5.363555669784546, loss is : 2.3026095321129034
batch No.373, time cost : 5.345577001571655, loss is : 2.3025854233459935
batch No.374, time cost : 5.359731912612915, loss is : 2.302701254102111
batch No.375, time cost : 5.349823951721191, loss is : 2.302299633818012
batch No.376, time cost : 5.376040935516357, loss is : 2.3025015389219634
batch No.377, time cost : 5.3458428382873535, loss is : 2.302584674107816
batch No.378, time cost : 5.360929250717163, loss is : 2.3027456814508698
batch No.379, time cost : 5.353294372558594, loss is : 2.3024914131542022
batch No.380, time cost : 5.373632907867432, loss is : 2.302852653821888
