epoch 1, training...
batch No.560, time cost : 5.377364873886108, loss is : 0.9226377076955994
batch No.561, time cost : 5.354142189025879, loss is : 0.8316731360371677
batch No.562, time cost : 5.326219797134399, loss is : 1.1115884137679974
batch No.563, time cost : 5.370921611785889, loss is : 0.7004748177343343
batch No.564, time cost : 5.359636068344116, loss is : 1.316643148110884
batch No.565, time cost : 5.370042562484741, loss is : 0.8545275160751158
batch No.566, time cost : 5.373498439788818, loss is : 1.093864529669396
batch No.567, time cost : 5.386661052703857, loss is : 0.9852875815740629
batch No.568, time cost : 5.3938751220703125, loss is : 0.6570020632296831
batch No.569, time cost : 5.349779367446899, loss is : 0.9328507491175838
batch No.570, time cost : 5.356374025344849, loss is : 0.8739853852684567
batch No.571, time cost : 5.384258508682251, loss is : 0.8725609904526888
batch No.572, time cost : 5.338425159454346, loss is : 0.6520776290665862
batch No.573, time cost : 5.3578245639801025, loss is : 0.7309818486077287
batch No.574, time cost : 5.352715253829956, loss is : 0.4879289830192478
batch No.575, time cost : 5.346744537353516, loss is : 0.43406790934127953
batch No.576, time cost : 5.354241609573364, loss is : 0.7413136468125416
batch No.577, time cost : 5.371575593948364, loss is : 0.7757960553388277
batch No.578, time cost : 5.362036943435669, loss is : 0.7740647697305418
batch No.579, time cost : 5.372575759887695, loss is : 0.9519875847211277
batch No.580, time cost : 5.39203143119812, loss is : 0.6640771062153484
batch No.581, time cost : 5.3632283210754395, loss is : 0.8347503096267346
batch No.582, time cost : 5.360841751098633, loss is : 0.7859095533806839
batch No.583, time cost : 5.349858045578003, loss is : 0.6092482768404457
batch No.584, time cost : 5.33089542388916, loss is : 0.810273037687636
batch No.585, time cost : 5.361675024032593, loss is : 0.8536923686803393
batch No.586, time cost : 5.365908622741699, loss is : 0.5494038360581026
batch No.587, time cost : 5.353318929672241, loss is : 0.9170986311714608
batch No.588, time cost : 5.348114013671875, loss is : 0.6646096393674048
batch No.589, time cost : 5.34493613243103, loss is : 1.1055521298681108
batch No.590, time cost : 5.34381365776062, loss is : 0.7026396551556122
batch No.591, time cost : 5.367270231246948, loss is : 0.65659172769341
batch No.592, time cost : 5.3807079792022705, loss is : 0.6015638725677287
batch No.593, time cost : 5.362451553344727, loss is : 0.8982814756130336
batch No.594, time cost : 5.366088151931763, loss is : 0.7757509736826551
batch No.595, time cost : 5.349843502044678, loss is : 0.4698832434136434
batch No.596, time cost : 5.3500120639801025, loss is : 0.7004118597489574
batch No.597, time cost : 5.340306997299194, loss is : 0.6136788385721522
batch No.598, time cost : 5.389874696731567, loss is : 0.7757068644841805
batch No.599, time cost : 5.339724063873291, loss is : 0.837208422201396
batch No.600, time cost : 5.40212082862854, loss is : 0.8988642998218741
batch No.601, time cost : 5.3532233238220215, loss is : 0.826900624957421
batch No.602, time cost : 5.334303617477417, loss is : 0.6377682331207499
batch No.603, time cost : 5.408404350280762, loss is : 0.6063286233148303
batch No.604, time cost : 5.353428363800049, loss is : 0.55511089271542
batch No.605, time cost : 5.358067989349365, loss is : 0.8161231048352405
batch No.606, time cost : 5.321026802062988, loss is : 0.8212826389007699
batch No.607, time cost : 5.39206075668335, loss is : 0.6765401921068726
batch No.608, time cost : 5.317967653274536, loss is : 0.7627849318810693
batch No.609, time cost : 5.382333517074585, loss is : 1.1378619627024564
batch No.610, time cost : 5.394170045852661, loss is : 0.9671676186801581
batch No.611, time cost : 5.357813835144043, loss is : 0.5723623237846929
batch No.612, time cost : 5.321808099746704, loss is : 0.6532322026452559
batch No.613, time cost : 5.3433473110198975, loss is : 0.7767303117980846
batch No.614, time cost : 5.353716135025024, loss is : 0.5731506071370408
batch No.615, time cost : 5.347299098968506, loss is : 0.902569776724828
batch No.616, time cost : 5.3621275424957275, loss is : 1.576964574364897
batch No.617, time cost : 5.340486288070679, loss is : 0.7382891433736709
batch No.618, time cost : 5.346208810806274, loss is : 0.6118688306083246
batch No.619, time cost : 5.3655173778533936, loss is : 0.6461871012777598
batch No.620, time cost : 5.3625547885894775, loss is : 0.6199647067950754
batch No.621, time cost : 5.351174831390381, loss is : 0.5295068469849772
batch No.622, time cost : 5.343422889709473, loss is : 1.408309943923046
batch No.623, time cost : 5.376391649246216, loss is : 0.9347867148568274
batch No.624, time cost : 5.325221538543701, loss is : 0.9889813799281972
batch No.625, time cost : 5.35313868522644, loss is : 1.0504161783455932
batch No.626, time cost : 5.351389169692993, loss is : 0.8573727494848911
batch No.627, time cost : 5.36712121963501, loss is : 0.5830931975635496
batch No.628, time cost : 5.360924243927002, loss is : 0.959029892934236
batch No.629, time cost : 5.341458797454834, loss is : 0.5229153883850819
batch No.630, time cost : 5.316206932067871, loss is : 0.9440274890302685
batch No.631, time cost : 5.368412494659424, loss is : 0.918723571781635
batch No.632, time cost : 5.374215841293335, loss is : 1.28141667350523
batch No.633, time cost : 5.326863050460815, loss is : 0.7117141578265078
batch No.634, time cost : 5.352712631225586, loss is : 1.0771026595063085
batch No.635, time cost : 5.352645397186279, loss is : 0.6460604406798771
batch No.636, time cost : 5.35233736038208, loss is : 0.8335008827183055
batch No.637, time cost : 5.3603174686431885, loss is : 0.7199964495939244
batch No.638, time cost : 5.338838815689087, loss is : 0.6612739342424899
batch No.639, time cost : 5.350940227508545, loss is : 0.672938809706923
batch No.640, time cost : 5.356943368911743, loss is : 0.9925381466065037
batch No.641, time cost : 5.344695568084717, loss is : 0.6681124126664459
batch No.642, time cost : 5.330412864685059, loss is : 0.6285966509950464
batch No.643, time cost : 5.365238428115845, loss is : 0.8134853374347096
batch No.644, time cost : 5.362898588180542, loss is : 0.7990062445827903
batch No.645, time cost : 5.349534511566162, loss is : 0.7580033985170492
batch No.646, time cost : 5.346197843551636, loss is : 1.0969999270316846
batch No.647, time cost : 5.331444501876831, loss is : 0.8146259620980392
batch No.648, time cost : 5.373418092727661, loss is : 0.6824756884906631
batch No.649, time cost : 5.313317775726318, loss is : 0.9254721325794533
batch No.650, time cost : 5.355505704879761, loss is : 0.9004721168796597
batch No.651, time cost : 5.32353663444519, loss is : 0.8649422398074071
batch No.652, time cost : 5.348706245422363, loss is : 0.8223788698768415
batch No.653, time cost : 5.349515438079834, loss is : 0.673747961757278
batch No.654, time cost : 5.343059062957764, loss is : 0.8876903667550189
batch No.655, time cost : 5.32691502571106, loss is : 0.5948909824658826
batch No.656, time cost : 5.3567633628845215, loss is : 0.8295334368437408
batch No.657, time cost : 5.37872052192688, loss is : 0.8658874149704581
batch No.658, time cost : 5.370994806289673, loss is : 0.6550102075092268
batch No.659, time cost : 5.335821628570557, loss is : 0.6034968221618972
batch No.660, time cost : 5.3266401290893555, loss is : 0.7848294076018065
batch No.661, time cost : 5.357395887374878, loss is : 0.9966993221027356
batch No.662, time cost : 5.335484504699707, loss is : 0.7947556890039098
batch No.663, time cost : 5.357400178909302, loss is : 0.7928415389187946
batch No.664, time cost : 5.352999925613403, loss is : 0.8224997343915305
batch No.665, time cost : 5.340891361236572, loss is : 1.2678475727239231
batch No.666, time cost : 5.364948272705078, loss is : 1.1597259935827426
batch No.667, time cost : 5.356062173843384, loss is : 0.7855284584751576
batch No.668, time cost : 5.357992649078369, loss is : 0.806986089643627
batch No.669, time cost : 5.326940536499023, loss is : 0.8906633874722969
batch No.670, time cost : 5.352375030517578, loss is : 0.6963167096160077
batch No.671, time cost : 5.406966209411621, loss is : 0.8078034812271382
batch No.672, time cost : 5.384406566619873, loss is : 0.6610711032668675
batch No.673, time cost : 5.351832151412964, loss is : 0.6045549053028076
batch No.674, time cost : 5.353872537612915, loss is : 0.8356111350734481
batch No.675, time cost : 5.367504596710205, loss is : 0.5416297086646158
batch No.676, time cost : 5.419687509536743, loss is : 0.9201900352642941
batch No.677, time cost : 5.392516374588013, loss is : 0.8809949631237138
batch No.678, time cost : 5.385637521743774, loss is : 0.6143501615374917
batch No.679, time cost : 5.372490644454956, loss is : 0.9933215204443581
batch No.680, time cost : 5.3675572872161865, loss is : 0.9788561402529823
batch No.681, time cost : 5.395094633102417, loss is : 0.905621087235275
batch No.682, time cost : 5.3855226039886475, loss is : 1.0210065300184241
batch No.683, time cost : 5.384843587875366, loss is : 1.1720150009165584
batch No.684, time cost : 5.343550682067871, loss is : 0.8906847190870335
batch No.685, time cost : 5.3479204177856445, loss is : 0.8272821619588469
batch No.686, time cost : 5.36999249458313, loss is : 0.8718606289272326
batch No.687, time cost : 5.330648183822632, loss is : 0.7626051313556972
batch No.688, time cost : 5.368945360183716, loss is : 0.8048588418448489
batch No.689, time cost : 5.319165945053101, loss is : 1.0628293967465592
batch No.690, time cost : 5.338250637054443, loss is : 0.8472824163179599
batch No.691, time cost : 5.359643459320068, loss is : 1.1570656085996043
batch No.692, time cost : 5.334896802902222, loss is : 0.8992108845957625
batch No.693, time cost : 5.364220857620239, loss is : 0.5190674147046748
batch No.694, time cost : 5.34211277961731, loss is : 0.9688470699427917
batch No.695, time cost : 5.385967254638672, loss is : 0.8632985749265184
batch No.696, time cost : 5.349453687667847, loss is : 0.6433468966681777
batch No.697, time cost : 5.359260082244873, loss is : 1.0891626628015207
batch No.698, time cost : 5.350029706954956, loss is : 0.9588157631048372
batch No.699, time cost : 5.362042427062988, loss is : 0.5519959672296921
batch No.700, time cost : 5.37358832359314, loss is : 0.6661476518294261
batch No.701, time cost : 5.353431701660156, loss is : 0.8433786545675541
batch No.702, time cost : 5.3577916622161865, loss is : 0.6152737648391133
batch No.703, time cost : 5.369676828384399, loss is : 0.9284993811076637
batch No.704, time cost : 5.360701322555542, loss is : 0.73497367546722
batch No.705, time cost : 5.376746654510498, loss is : 0.5291383146918589
batch No.706, time cost : 5.362278938293457, loss is : 0.7730422116454101
batch No.707, time cost : 5.355370283126831, loss is : 0.63659640910676
batch No.708, time cost : 5.367845773696899, loss is : 0.6236817109547612
batch No.709, time cost : 5.339198589324951, loss is : 0.8153820873631571
batch No.710, time cost : 5.3851799964904785, loss is : 0.813488228818545
batch No.711, time cost : 5.37609601020813, loss is : 0.5456284702465766
batch No.712, time cost : 5.344776630401611, loss is : 0.7091833616899281
batch No.713, time cost : 5.350792407989502, loss is : 0.8104726742523889
batch No.714, time cost : 5.389172077178955, loss is : 0.7944204900012019
batch No.715, time cost : 5.348031520843506, loss is : 0.7511368760662902
batch No.716, time cost : 5.341184139251709, loss is : 0.528439223195573
batch No.717, time cost : 5.367992877960205, loss is : 0.7723852334868695
batch No.718, time cost : 5.317337512969971, loss is : 0.6839550735354378
batch No.719, time cost : 5.348985433578491, loss is : 0.6409733532737835
batch No.720, time cost : 5.359320640563965, loss is : 0.8621885666440762
batch No.721, time cost : 5.375720500946045, loss is : 1.091700582651236
batch No.722, time cost : 5.336156606674194, loss is : 0.6857070463560875
batch No.723, time cost : 5.345716238021851, loss is : 0.587307956090573
batch No.724, time cost : 5.328219175338745, loss is : 0.6502136413716577
batch No.725, time cost : 5.3482067584991455, loss is : 0.7865742645126157
batch No.726, time cost : 5.3431174755096436, loss is : 0.3972769997797459
batch No.727, time cost : 5.3676064014434814, loss is : 0.6875135840347781
batch No.728, time cost : 5.418261766433716, loss is : 0.9804061543970136
batch No.729, time cost : 5.341332912445068, loss is : 0.989508013509616
batch No.730, time cost : 5.353954792022705, loss is : 0.5388296432925297
batch No.731, time cost : 5.366375684738159, loss is : 0.7515980923114108
batch No.732, time cost : 5.345795631408691, loss is : 0.6962422337677296
batch No.733, time cost : 5.377534866333008, loss is : 0.7829266911782264
batch No.734, time cost : 5.384447813034058, loss is : 0.55227480742766
batch No.735, time cost : 5.389883995056152, loss is : 0.6093680866425084
batch No.736, time cost : 5.3881142139434814, loss is : 0.8306614469919802
batch No.737, time cost : 5.344666481018066, loss is : 0.998718677935404
batch No.738, time cost : 5.435253858566284, loss is : 0.9069195113298395
batch No.739, time cost : 5.380638122558594, loss is : 0.7709715371192458
batch No.740, time cost : 5.375415802001953, loss is : 0.7011109038267412
batch No.741, time cost : 5.365882635116577, loss is : 0.8129688708081648
batch No.742, time cost : 5.374308824539185, loss is : 0.8777445655284726
batch No.743, time cost : 5.394391298294067, loss is : 0.8450583539466525
batch No.744, time cost : 5.367029190063477, loss is : 0.47791007756912984
batch No.745, time cost : 5.3904643058776855, loss is : 0.9569586119131234
batch No.746, time cost : 5.342772006988525, loss is : 0.7032119329331064
batch No.747, time cost : 5.369292497634888, loss is : 0.8758218005659147
batch No.748, time cost : 5.3734095096588135, loss is : 0.7130587547517016
batch No.749, time cost : 5.389954328536987, loss is : 0.6648057245006309
batch No.750, time cost : 5.387714862823486, loss is : 0.5316409797145424
batch No.751, time cost : 5.3707191944122314, loss is : 0.9791208926996046
batch No.752, time cost : 5.378945350646973, loss is : 0.8265424664309211
batch No.753, time cost : 5.335839033126831, loss is : 0.48182745814573924
batch No.754, time cost : 5.365903377532959, loss is : 0.7307331382810027
batch No.755, time cost : 5.358396768569946, loss is : 0.9928502563096082
batch No.756, time cost : 5.373676300048828, loss is : 0.897459496586937
batch No.757, time cost : 5.37764573097229, loss is : 0.4669712531283974
batch No.758, time cost : 5.340248346328735, loss is : 0.6384765306649836
batch No.759, time cost : 5.344121694564819, loss is : 0.3994673793992477
batch No.760, time cost : 5.391213655471802, loss is : 0.8681677964926959
batch No.761, time cost : 5.354957342147827, loss is : 0.8288599108196784
batch No.762, time cost : 5.387362480163574, loss is : 0.82530542416106
batch No.763, time cost : 5.351836919784546, loss is : 1.004244516826028
batch No.764, time cost : 5.37777853012085, loss is : 0.8487403988354777
batch No.765, time cost : 5.35667610168457, loss is : 1.01844508082615
batch No.766, time cost : 5.387681722640991, loss is : 0.7129317813412729
batch No.767, time cost : 5.364241123199463, loss is : 0.5741790732558345
batch No.768, time cost : 5.349557638168335, loss is : 0.722809610352068
batch No.769, time cost : 5.3674421310424805, loss is : 0.7206786342425502
batch No.770, time cost : 5.375807046890259, loss is : 0.9576355585777736
batch No.771, time cost : 5.34151816368103, loss is : 0.616009344198514
batch No.772, time cost : 5.360517263412476, loss is : 0.6452041113718208
batch No.773, time cost : 5.347480535507202, loss is : 0.6393337380705085
batch No.774, time cost : 5.35545015335083, loss is : 0.7880324711456124
batch No.775, time cost : 5.3569653034210205, loss is : 0.9678561105361685
batch No.776, time cost : 5.390916585922241, loss is : 0.5293500215691186
batch No.777, time cost : 5.337589740753174, loss is : 0.9735155024951873
batch No.778, time cost : 5.36003851890564, loss is : 0.8121592908803722
batch No.779, time cost : 5.400720834732056, loss is : 0.90494240319635
batch No.780, time cost : 5.336381673812866, loss is : 1.056288241722076
batch No.781, time cost : 5.362321138381958, loss is : 0.6110434090241719
batch No.782, time cost : 5.378702163696289, loss is : 0.9576218509419228
batch No.783, time cost : 5.38226318359375, loss is : 0.833387124385162
batch No.784, time cost : 5.352579593658447, loss is : 0.6248287363686629
batch No.785, time cost : 5.35496711730957, loss is : 0.7244035091784881
batch No.786, time cost : 5.3577516078948975, loss is : 0.6021273104778473
batch No.787, time cost : 5.422215700149536, loss is : 0.955476462052575
batch No.788, time cost : 5.40462589263916, loss is : 0.890831413076342
batch No.789, time cost : 5.3842761516571045, loss is : 0.695892467449717
batch No.790, time cost : 5.380154371261597, loss is : 1.0124392251361614
batch No.791, time cost : 5.385660648345947, loss is : 0.5970915562308472
batch No.792, time cost : 5.357919931411743, loss is : 0.9053967030122606
batch No.793, time cost : 5.363373517990112, loss is : 0.7171159696593142
batch No.794, time cost : 5.3732922077178955, loss is : 0.8412671838413933
batch No.795, time cost : 5.398275375366211, loss is : 0.7141007210868284
batch No.796, time cost : 5.371153354644775, loss is : 0.8155340534371242
batch No.797, time cost : 5.3770976066589355, loss is : 0.8139200873646647
batch No.798, time cost : 5.341927766799927, loss is : 1.0724866079170021
batch No.799, time cost : 5.388954162597656, loss is : 0.7189099725140525
batch No.800, time cost : 5.411404371261597, loss is : 0.7366596485900401
batch No.801, time cost : 5.349446058273315, loss is : 0.5796344583733388
batch No.802, time cost : 5.3614723682403564, loss is : 0.9775745325408449
batch No.803, time cost : 5.358001708984375, loss is : 0.7633385540994926
batch No.804, time cost : 5.3442223072052, loss is : 0.6242487545923957
batch No.805, time cost : 5.4187703132629395, loss is : 0.7524413905528673
batch No.806, time cost : 5.389114141464233, loss is : 0.9028936141342041
batch No.807, time cost : 5.354322671890259, loss is : 0.8223769234493249
batch No.808, time cost : 5.389608383178711, loss is : 0.6116805914473484
batch No.809, time cost : 5.323991298675537, loss is : 0.6973170338397868
batch No.810, time cost : 5.390054702758789, loss is : 0.48064489182107933
batch No.811, time cost : 5.368730306625366, loss is : 0.9569424881526011
batch No.812, time cost : 5.358513116836548, loss is : 0.6048992947755885
batch No.813, time cost : 5.360215187072754, loss is : 1.0310959237781376
batch No.814, time cost : 5.329847097396851, loss is : 1.0723763088918106
batch No.815, time cost : 5.364407777786255, loss is : 0.7417794567111147
batch No.816, time cost : 5.36388635635376, loss is : 0.7785048449349528
batch No.817, time cost : 5.337865114212036, loss is : 0.7892961912453019
batch No.818, time cost : 5.405296564102173, loss is : 0.8525064045635973
batch No.819, time cost : 5.3536787033081055, loss is : 0.9948438251584435
batch No.820, time cost : 5.3483405113220215, loss is : 0.4974197573633268
batch No.821, time cost : 5.389752149581909, loss is : 0.6612239395220909
batch No.822, time cost : 5.3549964427948, loss is : 0.8034159058444355
batch No.823, time cost : 5.372457504272461, loss is : 0.7879740438130577
batch No.824, time cost : 5.374002456665039, loss is : 0.9140502661567383
batch No.825, time cost : 5.357553720474243, loss is : 0.9729080624360582
batch No.826, time cost : 5.374134540557861, loss is : 1.2247298723602302
batch No.827, time cost : 5.389243841171265, loss is : 0.7754945592105137
batch No.828, time cost : 5.359139680862427, loss is : 0.8654468624272544
batch No.829, time cost : 5.373567819595337, loss is : 0.9161068782458917
batch No.830, time cost : 5.36032772064209, loss is : 0.6011276587129837
batch No.831, time cost : 5.350080251693726, loss is : 1.05096101662776
batch No.832, time cost : 5.390486001968384, loss is : 0.6649015161990199
batch No.833, time cost : 5.426894426345825, loss is : 1.0360770471986942
batch No.834, time cost : 5.353071451187134, loss is : 0.916421059888594
batch No.835, time cost : 5.398110389709473, loss is : 1.1105088407585035
batch No.836, time cost : 5.376144170761108, loss is : 0.8373519684494827
batch No.837, time cost : 5.35957145690918, loss is : 0.8200404780678812
batch No.838, time cost : 5.393610000610352, loss is : 0.9667898934645784
batch No.839, time cost : 5.3735315799713135, loss is : 0.9442794382528766
batch No.840, time cost : 5.374058485031128, loss is : 0.6685101560862698
batch No.841, time cost : 5.366100549697876, loss is : 0.7376384972243019
batch No.842, time cost : 5.3747968673706055, loss is : 0.9570750709976819
batch No.843, time cost : 5.375241041183472, loss is : 0.6683156197825599
batch No.844, time cost : 5.4084694385528564, loss is : 0.6079840435169543
batch No.845, time cost : 5.404248476028442, loss is : 0.9556730887075251
batch No.846, time cost : 5.387783765792847, loss is : 0.7505947805789746
batch No.847, time cost : 5.386965036392212, loss is : 0.7143924405308313
batch No.848, time cost : 5.367197036743164, loss is : 0.5202273530949522
batch No.849, time cost : 5.34414005279541, loss is : 0.5389963895698846
batch No.850, time cost : 5.418809175491333, loss is : 0.8631416018884607
batch No.851, time cost : 5.396378993988037, loss is : 0.6317008468852682
batch No.852, time cost : 5.358039379119873, loss is : 0.7152800805875086
batch No.853, time cost : 5.377319812774658, loss is : 0.6275648067906756
batch No.854, time cost : 5.361955642700195, loss is : 0.5236024711606515
batch No.855, time cost : 5.401687145233154, loss is : 0.7188129052311782
batch No.856, time cost : 5.383184909820557, loss is : 1.1560420209145923
batch No.857, time cost : 5.408233880996704, loss is : 0.9410036376214295
batch No.858, time cost : 5.362273216247559, loss is : 1.0781267162389037
batch No.859, time cost : 5.418384313583374, loss is : 0.547811086549882
batch No.860, time cost : 5.425482273101807, loss is : 0.8344091606843304
batch No.861, time cost : 5.402444124221802, loss is : 0.6550190543061982
batch No.862, time cost : 5.36444091796875, loss is : 0.6796615185703843
batch No.863, time cost : 5.3675291538238525, loss is : 0.6979871330965363
batch No.864, time cost : 5.356134653091431, loss is : 1.0170589886476695
batch No.865, time cost : 5.357519149780273, loss is : 1.00050247581822
batch No.866, time cost : 5.357888698577881, loss is : 0.7067423002837225
batch No.867, time cost : 5.323033571243286, loss is : 0.9014408548527129
batch No.868, time cost : 5.382895231246948, loss is : 0.7920298603794003
batch No.869, time cost : 5.380775690078735, loss is : 0.78419722771271
batch No.870, time cost : 5.317007303237915, loss is : 0.7789417150500368
batch No.871, time cost : 5.38468074798584, loss is : 0.5448857293249314
batch No.872, time cost : 5.41880202293396, loss is : 0.7816533120108289
batch No.873, time cost : 5.373441219329834, loss is : 0.7156695782268527
batch No.874, time cost : 5.359135866165161, loss is : 0.6149062664278568
batch No.875, time cost : 5.374897003173828, loss is : 1.0545601414505783
batch No.876, time cost : 5.351806163787842, loss is : 0.7112456106167704
batch No.877, time cost : 5.378908634185791, loss is : 0.4893280116188241
batch No.878, time cost : 5.352695941925049, loss is : 1.0050026536059664
batch No.879, time cost : 5.342203617095947, loss is : 0.8879896856801883
batch No.880, time cost : 5.3729424476623535, loss is : 0.88574966312971
batch No.881, time cost : 5.382413148880005, loss is : 0.614230050647101
batch No.882, time cost : 5.351711273193359, loss is : 0.6960234195651454
batch No.883, time cost : 5.3833348751068115, loss is : 0.8168252015104871
batch No.884, time cost : 5.393010854721069, loss is : 0.7432349852161693
batch No.885, time cost : 5.37225341796875, loss is : 0.8532031053743965
batch No.886, time cost : 5.338442325592041, loss is : 0.825501869509571
batch No.887, time cost : 5.352623462677002, loss is : 0.948043788681057
batch No.888, time cost : 5.373584508895874, loss is : 0.8256435334419843
batch No.889, time cost : 5.3746912479400635, loss is : 0.6762196752673586
batch No.890, time cost : 5.357518672943115, loss is : 0.7908762642098031
batch No.891, time cost : 5.366297721862793, loss is : 0.5604432521882197
batch No.892, time cost : 5.351139783859253, loss is : 0.7452053085950747
batch No.893, time cost : 5.355612277984619, loss is : 1.2592171611657006
batch No.894, time cost : 5.356911659240723, loss is : 0.9050860487272124
batch No.895, time cost : 5.387449026107788, loss is : 1.1500073136041258
batch No.896, time cost : 5.373986482620239, loss is : 0.7836991927017207
batch No.897, time cost : 5.390697002410889, loss is : 1.1456684886953534
batch No.898, time cost : 5.39350962638855, loss is : 0.9043703316247282
batch No.899, time cost : 5.393261432647705, loss is : 0.8271216954589513
batch No.900, time cost : 5.349012851715088, loss is : 0.9635165615103551
batch No.901, time cost : 5.387385368347168, loss is : 1.053064957608664
batch No.902, time cost : 5.362706422805786, loss is : 0.5223058924531527
batch No.903, time cost : 5.350138187408447, loss is : 0.8698892118025945
batch No.904, time cost : 5.357461452484131, loss is : 0.7475798442581625
batch No.905, time cost : 5.371117830276489, loss is : 1.0370590511109172
batch No.906, time cost : 5.362239360809326, loss is : 0.7116802700716998
batch No.907, time cost : 5.39221978187561, loss is : 0.6179207337933907
batch No.908, time cost : 5.373375654220581, loss is : 0.6980353253416871
batch No.909, time cost : 5.334082126617432, loss is : 0.688252933537795
batch No.910, time cost : 5.3782103061676025, loss is : 1.0158470441682985
batch No.911, time cost : 5.374154090881348, loss is : 0.5554600362652664
batch No.912, time cost : 5.376668691635132, loss is : 0.8870172333797963
batch No.913, time cost : 5.372415781021118, loss is : 0.8551981934028241
batch No.914, time cost : 5.324671030044556, loss is : 0.9502071146143879
batch No.915, time cost : 5.3587517738342285, loss is : 0.8983394516511266
batch No.916, time cost : 5.37343168258667, loss is : 0.5392645587680687
batch No.917, time cost : 5.374379634857178, loss is : 1.0388612871786211
batch No.918, time cost : 5.35856556892395, loss is : 1.0381482768809334
batch No.919, time cost : 5.368919849395752, loss is : 0.6123634603654255
batch No.920, time cost : 5.372377634048462, loss is : 0.5918275753116725
batch No.921, time cost : 5.34226131439209, loss is : 0.7831488639796963
batch No.922, time cost : 5.371610403060913, loss is : 0.7850605055088771
batch No.923, time cost : 5.352544069290161, loss is : 0.9341692550133236
batch No.924, time cost : 5.3488640785217285, loss is : 0.8798968417417188
batch No.925, time cost : 5.379762172698975, loss is : 0.5341282516915838
batch No.926, time cost : 5.370253324508667, loss is : 0.7533698363476602
batch No.927, time cost : 5.387230157852173, loss is : 0.7680830346522112
batch No.928, time cost : 5.383404493331909, loss is : 0.7573175367866889
batch No.929, time cost : 5.360090255737305, loss is : 0.9705040361512968
batch No.930, time cost : 5.357235908508301, loss is : 1.3328923526290362
batch No.931, time cost : 5.387206554412842, loss is : 0.8337610369199395
batch No.932, time cost : 5.363321304321289, loss is : 0.36992065012787345
batch No.933, time cost : 5.369255304336548, loss is : 1.1376754333833952
batch No.934, time cost : 5.395954847335815, loss is : 0.8306187142188808
batch No.935, time cost : 5.3766679763793945, loss is : 0.8748175103811285
batch No.936, time cost : 5.393133640289307, loss is : 0.7115829568285995
batch No.937, time cost : 5.347462177276611, loss is : 0.8963427894404834
batch No.938, time cost : 5.354330778121948, loss is : 0.8102575892829389
batch No.939, time cost : 5.419892311096191, loss is : 0.7121520921792036
batch No.940, time cost : 5.387244701385498, loss is : 0.86347365891917
batch No.941, time cost : 5.341880798339844, loss is : 0.6952078800666932
batch No.942, time cost : 5.385231971740723, loss is : 0.7751944153436017
batch No.943, time cost : 5.397752285003662, loss is : 0.8608436711165345
batch No.944, time cost : 5.401418447494507, loss is : 1.243553302912494
batch No.945, time cost : 5.365143299102783, loss is : 0.6158001572743048
batch No.946, time cost : 5.368589162826538, loss is : 0.6624512941972116
batch No.947, time cost : 5.37853741645813, loss is : 0.9365654262576755
batch No.948, time cost : 5.368969678878784, loss is : 1.037490650014481
batch No.949, time cost : 5.344842195510864, loss is : 0.806448764826304
batch No.950, time cost : 5.373742580413818, loss is : 0.77214533145865
batch No.951, time cost : 5.380387783050537, loss is : 0.9164675182855146
batch No.952, time cost : 5.378874778747559, loss is : 0.7412645402760285
batch No.953, time cost : 5.333755731582642, loss is : 0.876811033517539
batch No.954, time cost : 5.372198581695557, loss is : 0.8188366637058964
batch No.955, time cost : 5.395351886749268, loss is : 0.9145682000703482
batch No.956, time cost : 5.388387203216553, loss is : 0.627751090437868
batch No.957, time cost : 5.350392580032349, loss is : 0.8063997850723215
batch No.958, time cost : 5.3738298416137695, loss is : 1.1797784292280007
batch No.959, time cost : 5.356112957000732, loss is : 1.243044247554051
batch No.960, time cost : 5.362436056137085, loss is : 0.7750204599676527
batch No.961, time cost : 5.369647979736328, loss is : 1.2945403367851245
batch No.962, time cost : 5.361934423446655, loss is : 1.0840106640493103
batch No.963, time cost : 5.370997428894043, loss is : 0.8105562259903198
batch No.964, time cost : 5.394887924194336, loss is : 0.7382915683308338
batch No.965, time cost : 5.359111785888672, loss is : 1.048264089066287
batch No.966, time cost : 5.331796884536743, loss is : 0.629473640140495
batch No.967, time cost : 5.383179187774658, loss is : 0.6334789643767096
batch No.968, time cost : 5.360062599182129, loss is : 0.7788823521030213
batch No.969, time cost : 5.35948634147644, loss is : 0.6978076431471955
batch No.970, time cost : 5.384322166442871, loss is : 0.5971367830337657
batch No.971, time cost : 5.348799705505371, loss is : 0.7754768165923037
batch No.972, time cost : 5.352679014205933, loss is : 0.9931372756240922
batch No.973, time cost : 5.356440544128418, loss is : 0.7905318482950149
batch No.974, time cost : 5.36078143119812, loss is : 0.5622221762213284
batch No.975, time cost : 5.369591951370239, loss is : 0.5835227989521814
batch No.976, time cost : 5.379606008529663, loss is : 0.8322359911590607
batch No.977, time cost : 5.358919382095337, loss is : 0.694168446545776
batch No.978, time cost : 5.339434623718262, loss is : 0.6942391402236039
batch No.979, time cost : 5.334052085876465, loss is : 0.5563378972327353
batch No.980, time cost : 5.377790212631226, loss is : 1.1522117384759398
batch No.981, time cost : 5.392614126205444, loss is : 0.6784346951801604
batch No.982, time cost : 5.37270450592041, loss is : 0.8479236452094879
batch No.983, time cost : 5.407329797744751, loss is : 0.889367758717698
